platform,product,title,text,date
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Thing is terrible lol,2021-05-11T17:42:42Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"The mini is not compatible with many home routers supplied by their ISP's at least here in the UK , I  had nothing but problems setting mine up I am pretty competent with IT talked with google this is partly what they say Disable: AP / client isolation, virtual private networks (VPNs), proxy servers, IGMP Proxy. VPNs and proxy servers should be disabled on your computer as well (if applicable).in short Google wants you to purchase their routers their products, to go through all this nonsense ,  nah what I have now is two hockey pucks,  lool  I don't have proxy servers running or vpn's but the ap is not an option on the router, now If I purchase a google router it should work, that's the idea, upselling",2021-05-08T10:01:47Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Flipkart just gave me it free with a mobile,2021-05-08T03:33:32Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,You can do Apple Music,2021-05-07T14:21:55Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"5:26 ""Sexy time"" - 3 actions",2021-05-06T16:52:36Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Hey Google you have to say all the time,2021-05-06T15:56:24Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I just bought one, and I can't believe this devices don't have a battery to function. I mean, great technology, sure, inside a freaking primitive appliance.",2021-04-27T23:27:26Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Google nest mini is total crap,just like the Google home app,both useless and unusable.,nest mini is only fit to have the cable cut off and use as a paperweight.",2021-04-06T16:54:36Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Disconnects daily.   Useless unless you want to have to set up afresh every day.,2021-04-04T19:54:41Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Everyone’s getting them with YouTube Premium and Spotify And Pandora but I got mine from a hardware store,2021-04-03T00:54:06Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I just bought one today, and I've had spotify premium for about five years now ... Im mad",2021-02-28T04:48:35Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Do I necessarily need a Spotify premium to listen to music?,2021-02-19T14:19:02Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,I like that the songs perfectly transitioned from speaker to speaker. it makes it easier to compare,2021-02-13T15:24:28Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Constantly disconnects, pauses and does all sorts of random things. Can't use it as a Bluetooth speaker either. It's a dumb smart speaker",2021-02-04T01:15:29Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,5:19 What the heck is 'sexy time' doing in the routines?,2021-02-03T17:44:03Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,I got it for free but gonna sell it. Already have a speaker,2021-01-30T05:24:25Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,*you look like randomfrankp*,2021-01-28T02:33:45Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,can i still play music on a nest mini if my phone is on downtime?,2021-01-21T12:26:25Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,8:24 Yeah... WELCOME TO AN ADHD PERSON'S WORLD,2021-01-12T18:39:08Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Reading the comments got me mad cus I've been a subscriber of spotify and yt premium for years and didn't get a nest mini for free bruh,2021-01-06T05:29:04Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,People saying they got one 😭I have been a premium member for a year why didn't I get this???,2021-01-05T09:52:46Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Just got one for free at Christmas . Not sure if I want any more “smart” technology intruding into my home to be honest. Right now it’s still in the box and ready to dump. What would the likes of Edward Snowden think of this device?????,2021-01-03T01:54:01Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,wake up ppl they give this thing for free bc this way they can hear everything u say in your home all your conversations are being monitored by google..,2020-12-31T09:52:49Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,just remembered  I had one,2025-06-21T05:30:03Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Anyone watching in December 2024? I am setting up my Google Nest Mini,2024-12-19T02:40:00Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,This video triggered gemini on my phone!,2024-09-19T05:45:40Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Can the  Google home mini microphobe be disabled for privacy and just use it as a bluetooth music player?,2024-06-22T18:38:06Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,his Hey Google montage kept triggering my assistant xD,2024-03-20T11:43:26Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,the fact it doesnt have a audio out makes it junk IMO,2023-12-23T10:35:49Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,How do you connect it to your tv??,2023-11-29T04:51:52Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Dude. Thats totally awesome! Btw. How’d you get so tan?,2023-11-02T15:15:08Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,The Nest Mini cannot send music to a Bluetooth speaker with quality. It has had a bug for years and the sound is choppy. It has been reported several times and they continue to ignore it.,2023-04-13T10:10:31Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Wow this is annoying to watch with a google home in the room,2023-03-08T23:41:32Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,1:04 this was actually removed with the Google Nest Mini,2023-02-03T16:14:00Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Now try to sync multiple google home devices to play together. Then unpair them and try to add them to a new group. Whoops, that’s not working. Gonna cry?😢",2023-02-01T17:26:10Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Nice review, I bought one 2 weeks ago and I'm still happy with it! :)",2023-01-28T21:46:20Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,My parents got a free one for buying a smartphone so I'm here learning how can I use it at its 100% lol,2023-01-12T02:38:11Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Hey try this,  Hey Google how to skin a cat",2023-01-10T17:37:45Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I'm yousing my dads and I'm to exited to open it🤪,2023-01-06T05:30:57Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I think Google Assistant is the smartest out there and is a game changer depending on what ecosystem you want to get into.,2022-12-12T00:15:06Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Every time I pick the mini up it stops my music and, just everything. I’m Wondering why it does that. Please help lol.",2022-12-05T17:29:29Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"because the latest google nest firmware update has been a huge problem for me, i don't recommend the google speakers.",2022-12-04T01:24:08Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Is there any one watching from 2022?,2022-10-05T06:40:53Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"The problem with the mini is that it is no better in audio quality or loudness than a smartphone these days. So it's pretty much pointless. It would've been great 5-10 years ago though. Nowadays, something like the Sonos one would be an improvement over smartphone speakers",2022-07-21T09:09:58Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Everytime he's saying hey Google and my phone's assistant wents up,2022-03-29T16:52:49Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,The Google mini is louder than my ipad,2021-12-10T15:28:44Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Can it be used as a chrome cast or a TV,2021-11-18T13:14:04Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Great review, thanks.",2021-11-08T03:43:00Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,That light switch analogy is so related,2021-11-04T21:32:50Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,That's really fast.  Alexa sucks. I'm gonna change to this.,2021-11-04T09:51:14Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"$25 at Lowe’s… is it worth it 4 years later?

Literally only gonna use for music",2021-10-30T18:41:36Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I never knew about the 20-sided die command and now I'm obsessed,2021-10-28T06:11:11Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"OK, you have to tie this thing to your cell phone and your home wifi?  

Nah",2021-10-23T01:17:14Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I got a free one from Google xd,2021-10-11T17:22:01Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who uses Apple Music?,2021-10-10T21:07:31Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who's here cuz Google just gave them one for free?,2021-10-08T02:38:40Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I got it for 10 dollars with a google assistant promotion ☺,2021-09-14T13:06:42Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,i got it for 0$ cause somebody had a spare and gave me one,2021-09-05T19:35:35Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"HELP NEEDED. Hi All! We have 3 Home Mini's, which we've been using for over 2 years now. Since late June my Huawei P30 Pro lost all casting functionality and features to inact with the Mini, unless I use VLC (with no volume functions). Been trying to find answers online, but no luck. My wife's iPhone and brother's Samsung works perfectly. I think I just answered my own question 😳😭",2021-09-02T12:32:23Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who's watching because he can't get one,2021-08-13T01:29:55Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,my nest kept going off from this video,2021-06-19T16:32:47Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Bought one at a garage sale for $5 lmaoooo,2021-06-19T15:50:11Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I'm Getting Mine July 1st To Replace My Non Working Amazon Echo By Accdeintly Jamming The Cord A Couple Years Ago On June 17-29 Of 2020,2021-06-18T17:22:37Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,So... nothing usefull!,2021-06-12T14:10:05Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,You set off find my phone,2021-06-10T23:07:18Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Thank you for this vid. The info is organized nicely and you are easy on the eyes.  win win,2021-05-12T19:51:13Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I got one for 25 dollars -,2021-05-03T02:21:23Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Thanks for triggering ALL my google devices. Idiot,2021-04-28T21:49:15Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,I got Spotify premium since 2 years but I didn't get this 🤔😒,2021-04-17T07:17:37Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Marques, you said the forbidden command and now my google home wants to find my phone😐",2021-03-21T06:57:51Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"When he said hey google find my phone i just hear across the room ""i couldnt verify your voice"" ahha",2021-02-28T07:26:26Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"Ok, is anyone here from the 499 offer?",2021-02-24T10:09:52Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,How to make Google home ring my phone,2021-02-23T19:14:30Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Its going on in india now and im not able to earn it,2021-02-23T15:30:20Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Who is here after 499 on Flipkart,2021-02-22T09:48:07Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,It's shit. Mine has broken down.,2021-02-21T22:27:23Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,"No one :
Subtitles: Hello guys, my PHd here",2021-02-14T05:29:27Z
youtube,Google Nest Mini,Google Home Mini Review: Smart Home for $49?,Got this for 7 USD in 2020 hahahahaha.,2021-02-07T21:24:33Z
